"location","source","target"
"htmlcov/pretix_control_views_dashboards_py.html:963 pretix/control/templates/pretixcontrol/events/index.html:127 pretix/control/templates/pretixcontrol/organizers/detail.html:64 pretix/control/views/dashboards.py:382","Shop disabled","Shop deaktiviert"
"htmlcov/pretix_control_views_dashboards_py.html:965 pretix/control/forms/filter.py:373 pretix/control/forms/filter.py:508 pretix/control/templates/pretixcontrol/events/index.html:129 pretix/control/templates/pretixcontrol/organizers/detail.html:66 pretix/control/templates/pretixcontrol/subevents/index.html:115","Presale over","Verkauf vorüber"
"htmlcov/pretix_control_views_dashboards_py.html:967 pretix/control/forms/filter.py:372 pretix/control/forms/filter.py:507 pretix/control/templates/pretixcontrol/events/index.html:131 pretix/control/templates/pretixcontrol/organizers/detail.html:68 pretix/control/templates/pretixcontrol/subevents/index.html:117","Presale not started","noch nicht gestartet"
"htmlcov/pretix_control_views_dashboards_py.html:969 pretix/control/templates/pretixcontrol/events/index.html:133 pretix/control/templates/pretixcontrol/organizers/detail.html:70 pretix/control/templates/pretixcontrol/subevents/index.html:119 pretix/control/views/dashboards.py:388","On sale","Aktiv"
"pretix/api/models.py:18","Application name","Name der Applikation"
"pretix/api/models.py:21","Redirection URIs","URLs zur Weiterleitung"
"pretix/api/models.py:22","Allowed URIs list, space separated","Liste erlaubter URLs, mit Leerzeichen getrennt"
"pretix/api/models.py:25 pretix/plugins/paypal/payment.py:69","Client ID","Client-ID"
"pretix/api/models.py:29","Client secret","Geheimer Schlüssel"
"pretix/api/models.py:75","Enable webhook","Webhook aktivieren"
"pretix/api/models.py:76 pretix/control/templates/pretixcontrol/organizers/webhooks.html:36","Target URL","Ziel-URL"
"pretix/api/models.py:77 pretix/base/models/devices.py:42 pretix/base/models/organizer.py:142","All events (including newly created ones)","Alle Veranstaltungen (auch zukünftig erstellte)"
"pretix/api/models.py:78 pretix/base/models/devices.py:43 pretix/base/models/organizer.py:143","Limit to events","Auf Veranstaltungen einschränken"
"pretix/api/serializers/cart.py:56 pretix/api/serializers/order.py:644","The product ""{}"" is not assigned to a quota.","Das Produkt ""{}"" ist keinem Kontingent zugeordnet."
"pretix/api/serializers/cart.py:64 pretix/api/serializers/order.py:656","There is not enough quota available on quota ""{}"" to perform the operation.","Das Kontingent ""{name}"" hat nicht genug freie Kapazität für diese Änderung."
"pretix/api/serializers/checkin.py:27 pretix/base/models/event.py:934 pretix/base/models/items.py:1081 pretix/base/models/items.py:1412","One or more items do not belong to this event.","Eines oder mehrere der Produkte gehören nicht zu dieser Veranstaltung."
"pretix/api/serializers/checkin.py:31 pretix/base/models/items.py:1421 pretix/base/models/waitinglist.py:152","Subevent cannot be null for event series.","Der Termin kann nicht leer sein, da dies eine Veranstaltungsreihe ist."
"pretix/api/serializers/checkin.py:33 pretix/api/serializers/checkin.py:36 pretix/base/models/items.py:1423 pretix/base/models/items.py:1426 pretix/base/models/waitinglist.py:154 pretix/base/models/waitinglist.py:157","The subevent does not belong to this event.","Dieser Termin gehört nicht zu dieser Veranstaltungsreihe."
"pretix/api/serializers/event.py:77","Events cannot be created as 'live'. Quotas and payment must be added to the event before sales can go live.","Veranstaltungen können nicht als 'veröffentlicht' erstellt werden, da vorher Kontingente und Zahlungseinstellungen angelegt werden müssen."
"pretix/api/serializers/event.py:92 pretix/api/serializers/event.py:234","Meta data property '{name}' does not exist.","Die Meta-Eigenschaft '{name}' existiert nicht."
"pretix/api/serializers/event.py:105","Unknown plugin: '{name}'.","Unbekannte Erweiterung: '{name}'."
"pretix/api/serializers/item.py:66 pretix/control/forms/item.py:615","The bundled item must not be the same item as the bundling one.","Ein Produkt darf sich nicht selbst enthalten."
"pretix/api/serializers/item.py:69 pretix/control/forms/item.py:617","The bundled item must not have bundles on its own.","Ein Produkt darf keine Produkte enthalten, die weitere Produkte enthalten."
"pretix/api/serializers/item.py:130","Updating add-ons, bundles, or variations via PATCH/PUT is not supported. Please use the dedicated nested endpoint.","Varianten, Zusatzprodukte und Bundles können nicht per PATCH/PUT geändert werden, bitte nutze die separate Ressource."
"pretix/api/serializers/item.py:227","Updating options via PATCH/PUT is not supported. Please use the dedicated nested endpoint.","Optionen können nicht per PATCH/PUT geändert werden, bitte nutze die separate Ressource."
"pretix/api/serializers/item.py:243 pretix/control/forms/item.py:63","Circular dependency between questions detected.","Es wurde eine gegenseitige Abhängigkeit zwischen Fragen erkannt."
"pretix/api/views/oauth.py:74 pretix/control/logdisplay.py:235","The application ""{application_name}"" has been authorized to access your account.","Der Application ""{application_name}"" wurde der Zugriff auf dein Konto erlaubt."
"pretix/api/views/order.py:329 pretix/control/views/orders.py:939 pretix/presale/views/order.py:515","You cannot generate an invoice for this order.","Du kannst für diese Anmeldung keine Rechnung erzeugen."
"pretix/api/views/order.py:334 pretix/control/views/orders.py:941 pretix/presale/views/order.py:517","An invoice for this order already exists.","Zu dieser Anmeldung gibt es bereits eine Rechnung."
"pretix/api/views/order.py:360 pretix/control/views/orders.py:1063 pretix/control/views/users.py:92","There was an error sending the mail. Please try again later.","Es gab ein Fehler beim Senden der E-Mail. Bitte probiere es später erneut."
"pretix/api/webhooks.py:113 pretix/base/notifications.py:194","New order placed","Neue Bestellung eingegangen"
"pretix/api/webhooks.py:117 pretix/base/notifications.py:200","New order requires approval","Neue Bestellungen mit erforderlicher Freigabe"
"pretix/api/webhooks.py:121 pretix/base/notifications.py:206","Order marked as paid","Bestellung als bezahlt markiert"
"pretix/api/webhooks.py:125 pretix/base/notifications.py:212 pretix/control/templates/pretixcontrol/event/mail.html:63","Order canceled","Bestellung storniert"
"pretix/api/webhooks.py:129 pretix/base/notifications.py:218","Order expired","Bestellung abgelaufen"
"pretix/api/webhooks.py:133 pretix/base/notifications.py:224","Order information changed","Bestell-Informationen geändert"
"pretix/api/webhooks.py:137 pretix/base/notifications.py:230","Order contact address changed","E-Mail-Adresse einer Bestellung geändert"
"pretix/api/webhooks.py:141 pretix/base/notifications.py:236 pretix/control/templates/pretixcontrol/event/mail.html:54","Order changed","Bestellung geändert"
"pretix/api/webhooks.py:145 pretix/base/notifications.py:248","External refund of payment","Externe Erstattung einer Zahlung"
"pretix/api/webhooks.py:149","Order approved","Bestellung freigegeben"
"pretix/api/webhooks.py:153","Order denied","Bestellung abgelehnt"
"pretix/api/webhooks.py:157","Ticket checked in","Ticket eingecheckt"
"pretix/api/webhooks.py:161","Ticket check-in reverted","Check-in rückgängig gemacht"
"pretix/base/channels.py:58","Online shop","Online-Shop"
"pretix/base/email.py:125","pretix default","pretix-Standard"
"pretix/base/exporter.py:91 pretix/base/exporter.py:169","Export format","Exportformat"
"pretix/base/exporter.py:93","Excel (.xlsx)","Excel (.xslx)"
"pretix/base/exporter.py:94 pretix/base/exporter.py:161","CSV (with commas)","CSV (mit Kommata)"
"pretix/base/exporter.py:95 pretix/base/exporter.py:162","CSV (Excel-style)","CSV (wie Excel)"
"pretix/base/exporter.py:96 pretix/base/exporter.py:163","CSV (with semicolons)","CSV (mit Semikolon)"
"pretix/base/exporter.py:157","Combined Excel (.xlsx)","Kombiniertes Excel (.xslx)"
"pretix/base/exporters/answers.py:18","Answers to file upload questions","Antworten zu Fragen mit Dateiupload"
"pretix/base/exporters/answers.py:27 pretix/base/models/items.py:978 pretix/control/navigation.py:169 pretix/control/templates/pretixcontrol/items/questions.html:3 pretix/control/templates/pretixcontrol/items/questions.html:5","Questions","Fragen"
"pretix/base/exporters/dekodi.py:82","Event ticket {event}-{code}","Ticket {event}-{code}"
"pretix/base/exporters/dekodi.py:199 pretix/base/exporters/invoices.py:74 pretix/control/forms/subevents.py:228 pretix/control/templates/pretixcontrol/events/index.html:62 pretix/control/templates/pretixcontrol/order/index.html:445 pretix/control/templates/pretixcontrol/order/index.html:539 pretix/control/templates/pretixcontrol/orders/refunds.html:43 pretix/control/templates/pretixcontrol/organizers/detail.html:26 pretix/control/templates/pretixcontrol/user/staff_session_edit.html:19 pretix/control/templates/pretixcontrol/user/staff_session_list.html:18","Start date","Beginn"
"pretix/base/exporters/dekodi.py:202 pretix/base/exporters/invoices.py:77","Only include invoices issued on or after this date. Note that the invoice date does not always correspond to the order or payment date.","Nur Rechnungen, die an oder nach diesem Tag erstellt wurden. Achtung: Das Rechnungsdatum korrespondiert nicht zwingend zum Bestell- oder Zahlungsdatum."
"pretix/base/exporters/dekodi.py:207 pretix/base/exporters/invoices.py:82 pretix/control/templates/pretixcontrol/events/index.html:66 pretix/control/templates/pretixcontrol/organizers/detail.html:28 pretix/control/templates/pretixcontrol/user/staff_session_edit.html:21 pretix/control/templates/pretixcontrol/user/staff_session_list.html:20","End date","Ende"
"pretix/base/exporters/dekodi.py:210 pretix/base/exporters/invoices.py:85","Only include invoices issued on or before this date. Note that the invoice date does not always correspond to the order or payment date.","Nur Rechnungen, die an oder vor diesem Tag erstellt wurden. Achtung: Das Rechnungsdatum korrespondiert nicht zwingend zum Bestell- oder Zahlungsdatum."
"pretix/base/exporters/invoices.py:21","All invoices","Alle Rechnungen"
"pretix/base/exporters/invoices.py:90 pretix/base/models/orders.py:1103 pretix/base/models/orders.py:1423 pretix/control/forms/filter.py:93 pretix/control/forms/filter.py:893 pretix/control/templates/pretixcontrol/boxoffice/payment.html:9 pretix/control/templates/pretixcontrol/orders/refunds.html:42","Payment provider","Zahlungsmethode"
"pretix/base/exporters/invoices.py:92 pretix/control/forms/filter.py:95 pretix/control/forms/filter.py:895","All payment providers","Alle Zahlungsmethoden"
"pretix/base/exporters/invoices.py:97","Only include invoices for orders that have at least one payment attempt with this payment provider. Note that this might include some invoices of orders which in the end have been fully or partially paid with a different provider.","Nur Rechnungen für Bestellungen, die mindestens einen Zahlungsversuch mit dieser Zahlungsmethode haben. Achtung: Dies kann auch Rechnungen für Bestellungen enthalten, die am Ende mit einem anderen Zahlungsanbieter bezahlt wurden."
"pretix/base/exporters/mail.py:16","Email addresses (text file)","E-Mail-Adressen (Textdatei)"
"pretix/base/exporters/mail.py:34 pretix/plugins/reports/exporters.py:289","Filter by status","Nach Status filtern"
"pretix/base/exporters/orderlist.py:23","Order data","Bestelldaten"
"pretix/base/exporters/orderlist.py:28 pretix/base/models/orders.py:185 pretix/control/navigation.py:181 pretix/control/templates/pretixcontrol/event/settings.html:62 pretix/control/templates/pretixcontrol/orders/index.html:7 pretix/control/templates/pretixcontrol/orders/index.html:9","Orders","Bestellungen"
"pretix/base/exporters/orderlist.py:29 pretix/base/models/orders.py:1677 pretix/base/notifications.py:183","Order positions","Bestellzeilen"
"pretix/base/exporters/orderlist.py:30","Order fees","Gebühren"
"pretix/base/exporters/orderlist.py:39","Only paid orders","Nur bezahlte Bestellungen"
"pretix/base/exporters/orderlist.py:91 pretix/base/exporters/orderlist.py:193 pretix/base/exporters/orderlist.py:267 pretix/base/exporters/orderlist.py:488 pretix/base/exporters/orderlist.py:577 pretix/base/models/orders.py:117 pretix/base/notifications.py:178 pretix/base/pdf.py:51 pretix/control/templates/pretixcontrol/checkin/index.html:65 pretix/control/templates/pretixcontrol/order/index.html:118 pretix/control/templates/pretixcontrol/orders/index.html:34 pretix/control/templates/pretixcontrol/orders/index.html:91 pretix/control/templates/pretixcontrol/search/orders.html:36 pretix/plugins/badges/exporters.py:106 pretix/plugins/banktransfer/templates/pretixplugins/banktransfer/transaction_list.html:34 pretix/plugins/checkinlists/exporters.py:53 pretix/plugins/checkinlists/exporters.py:295 pretix/plugins/reports/exporters.py:363 pretix/plugins/ticketoutputpdf/exporters.py:40","Order code","Bestellnummer"
"pretix/base/exporters/orderlist.py:91 pretix/base/notifications.py:179 pretix/control/templates/pretixcontrol/orders/index.html:101 pretix/control/templates/pretixcontrol/search/orders.html:48 pretix/plugins/reports/exporters.py:363","Order total","Gesamtbetrag"
